,mol_path,group,msg
2706,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUZYEK_0.xyz,valid,VALID
2707,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUZYEK_1.xyz,metal,NO_METAL
2708,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUZYIO_0.xyz,metal,NO_METAL
2709,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MADYID_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2710,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MADYID_1.xyz,metal,NO_METAL
2711,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MADYID_2.xyz,metal,NO_METAL
2712,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MADYID_3.xyz,metal,NO_METAL
2713,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAFWOI_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2714,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAFWOI_1.xyz,topolocial,NOT_CONNECTED_MOLECULE
2715,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAFWOI_2.xyz,metal,NO_METAL
2716,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAFWOI_3.xyz,metal,NO_METAL
2717,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAFWOI_4.xyz,metal,NO_METAL
2718,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAFWOI_5.xyz,metal,NO_METAL
2719,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAHXAU_0.xyz,metal,NO_METAL
2720,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJMIV_0.xyz,metal,NO_METAL
2721,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJMIV_1.xyz,metal,NO_METAL
2722,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJMOB_0.xyz,metal,NO_METAL
2723,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJMOB_1.xyz,metal,NO_METAL
2724,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJMOD_0.xyz,valid,VALID
2725,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJVAW_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2726,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJVAW_1.xyz,metal,NO_METAL
2727,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAJVEA_0.xyz,valid,VALID
2728,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAKBOQ_0.xyz,topolocial,NOT_SATURATED
2729,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAKBOQ_1.xyz,metal,NO_METAL
2730,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAKBOQ_2.xyz,metal,NO_METAL
2731,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAKBOQ_3.xyz,topolocial,NOT_A_MONOMER
2732,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAMLUH_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2733,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAMLUH_1.xyz,metal,NO_METAL
2734,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAPSEC_0.xyz,topolocial,BIDENTATE_MACROCYCLE_SUBS
2735,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAPSEC_1.xyz,metal,NO_METAL
2736,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MARGEU_0.xyz,charge,COUNTER_MOL_ODD_NUMBER_OF_ELECTRONS
2737,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MARGEU_1.xyz,metal,NO_METAL
2738,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MARGEU_2.xyz,metal,NO_METAL
2739,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MARGIY_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2740,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MARPUR_0.xyz,metal,NO_METAL
2741,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MATHUN_0.xyz,charge,TOO_LARGE_COUNTER_MOL
2742,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MATHUN_1.xyz,metal,NO_METAL
2743,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MATHUN_2.xyz,metal,NO_METAL
2744,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MATHUN_3.xyz,metal,NO_METAL
2745,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MATHUN_4.xyz,metal,NO_METAL
2746,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MATHUN_5.xyz,metal,NO_METAL
2747,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQIL_0.xyz,topolocial,HAS_MORE_THAN_4_PYRROLES
2748,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQIL_1.xyz,metal,NO_METAL
2749,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQIL_2.xyz,metal,NO_METAL
2750,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQIL_3.xyz,metal,NO_METAL
2751,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQIL_4.xyz,metal,NO_METAL
2752,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQIL_5.xyz,metal,NO_METAL
2753,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQOR_0.xyz,topolocial,HAS_MORE_THAN_4_PYRROLES
2754,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVQOR_1.xyz,metal,NO_METAL
2755,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZIS_0.xyz,metal,NO_METAL
2756,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZIS_1.xyz,metal,NO_METAL
