,Unnamed: 0,positive_current,negative_current,total_current,acid_sqrt(J^2),acid_current,width,height,bond_start,bond_end,mapped_bond_start,mapped_bond_end,sid
142,142,0.0,-12.30857,-12.30857,0.044605,1.256941,3.5,1.5,81,82,8,10,LODSEC
143,143,3.527591,-26.209006,-22.681416,0.113343,3.193951,3.5,1.5,95,12,9,11,LODSEC
144,144,0.001346,-23.897306,-23.89596,0.107383,3.026,3.5,1.5,12,13,11,21,LODSEC
145,145,10.690608,-8.630168,2.06044,0.089579,2.524275,3.5,1.5,12,82,11,10,LODSEC
146,146,3.375845,-6.714982,-3.339137,0.054708,1.541644,3.5,1.5,14,13,18,21,LODSEC
147,147,4.16732,-6.316109,-2.14879,0.035087,0.988729,3.5,1.5,27,14,17,18,LODSEC
148,148,11.551529,-8.473043,3.078486,0.091784,2.586421,3.5,1.5,30,14,19,18,LODSEC
149,149,4.883786,-5.833066,-0.949279,0.042106,1.186521,3.5,1.5,32,27,23,17,LODSEC
150,150,15.048812,-8.080721,6.968091,0.07863,2.215744,3.5,1.5,31,30,20,19,LODSEC
151,151,8.429563,-7.752182,0.677381,0.076932,2.167901,3.5,1.5,32,31,23,20,LODSEC
152,152,9.136698,-8.237939,0.898759,0.065077,1.833835,3.5,1.5,23,24,22,1,LODSEC
153,153,3.602387,-27.955696,-24.353308,0.112473,3.169412,3.5,1.5,23,28,22,14,LODSEC
154,154,0.429733,-22.802213,-22.37248,0.115133,3.244381,3.5,1.5,34,23,24,22,LODSEC
155,155,0.055312,-23.173531,-23.118219,0.112161,3.160637,3.5,1.5,32,34,23,24,LODSEC
156,156,2.982954,-1.664099,1.318855,0.030059,0.847044,3.5,1.5,1,28,-1,14,LODSEC
157,157,1.829388,-0.824417,1.004971,0.021946,0.618414,3.5,1.5,1,94,-1,16,LODSEC
158,158,3.486981,-1.118473,2.368508,0.030677,0.864464,3.5,1.5,27,1,17,-1,LODSEC
159,159,2.668404,-2.614513,0.053891,0.020333,0.572967,3.5,1.5,95,1,9,-1,LODSEC
160,160,0.0,-2.552853,-2.552853,0.007011,0.197571,4.0,1.5,24,25,1,15,LODSEC
161,161,7.391761,-7.333686,0.058075,0.071833,2.024208,4.0,1.5,26,25,13,15,LODSEC
162,162,0.0108,-12.413957,-12.403157,0.067493,1.901911,4.0,1.5,26,87,13,12,LODSEC
0,0,8.182162,-20.399886,-12.217724,0.107428,3.027253,1.5,1.5,25,23,15,1,QAYRIS01
1,1,19.653149,-7.712862,11.940287,0.126101,3.553458,1.5,1.5,25,27,15,13,QAYRIS01
2,2,30.725557,-4.836505,25.889052,0.182855,5.152735,1.5,1.5,27,28,13,12,QAYRIS01
3,3,9.312964,-23.603729,-14.290765,0.131425,3.703472,1.5,1.5,27,75,13,14,QAYRIS01
4,4,4.87615,-30.877099,-26.000949,0.179558,5.059849,1.5,1.5,30,28,5,12,QAYRIS01
5,5,20.038456,-7.911993,12.126463,0.125585,3.538901,1.5,1.5,30,66,5,3,QAYRIS01
6,6,8.44734,-22.363735,-13.916395,0.128268,3.614508,1.5,1.5,76,30,16,5,QAYRIS01
7,7,7.919404,-19.370796,-11.451391,0.101444,2.858618,1.5,1.5,68,66,4,3,QAYRIS01
8,8,7.805266,-20.050994,-12.245728,0.121239,3.416429,1.5,1.5,70,68,2,4,QAYRIS01
9,9,21.435581,-7.979977,13.455604,0.118354,3.335137,1.5,1.5,76,70,16,2,QAYRIS01
10,10,31.210343,-4.928377,26.281966,0.177654,5.00619,1.5,1.5,70,72,2,6,QAYRIS01
11,11,30.460565,-4.997539,25.463027,0.171495,4.832633,1.5,1.5,72,37,6,7,QAYRIS01
12,12,21.766054,-8.075244,13.69081,0.127564,3.594682,1.5,1.5,37,77,7,9,QAYRIS01
13,13,7.85435,-20.044596,-12.190246,0.12256,3.453677,1.5,1.5,39,37,8,7,QAYRIS01
14,14,19.918768,-7.622263,12.296505,0.103798,2.924973,1.5,1.5,39,41,8,10,QAYRIS01
15,15,19.372915,-7.903971,11.468944,0.12059,3.39816,1.5,1.5,41,43,10,11,QAYRIS01
16,16,9.502529,-22.585584,-13.083055,0.129559,3.650901,1.5,1.5,43,77,11,9,QAYRIS01
17,17,30.886071,-4.886429,25.999642,0.172116,4.850132,1.5,1.5,43,45,11,21,QAYRIS01
18,18,30.531813,-4.889036,25.642777,0.16711,4.709072,1.5,1.5,45,47,21,18,QAYRIS01
19,19,24.880153,-10.07143,14.808723,0.126612,3.567848,1.5,1.5,47,78,18,17,QAYRIS01
20,20,7.261444,-19.401401,-12.139957,0.12416,3.498761,1.5,1.5,49,47,19,18,QAYRIS01
21,21,8.108207,-20.069748,-11.961541,0.107932,3.04145,1.5,1.5,50,49,20,19,QAYRIS01
22,22,18.72878,-7.878639,10.850141,0.125365,3.5327,1.5,1.5,50,51,20,23,QAYRIS01
23,23,7.251493,-19.641578,-12.390084,0.126782,3.572637,1.5,1.5,23,21,1,22,QAYRIS01
24,24,23.185042,-11.052282,12.13276,0.133852,3.771874,1.5,1.5,21,75,22,14,QAYRIS01
25,25,4.700841,-30.575514,-25.874673,0.169579,4.778642,1.5,1.5,21,52,22,24,QAYRIS01
26,26,4.407071,-30.490884,-26.083812,0.163691,4.612702,1.5,1.5,52,51,24,23,QAYRIS01
27,27,11.12303,-25.627303,-14.504272,0.141144,3.977358,1.5,1.5,51,78,23,17,QAYRIS01
28,28,1.474938,-2.505765,-1.030827,0.024029,0.677115,1.5,1.5,75,1,14,-1,QAYRIS01
29,29,2.348732,-1.517588,0.831144,0.013465,0.379433,1.5,1.5,76,1,16,-1,QAYRIS01
30,30,1.331149,-4.287061,-2.955912,0.0388,1.093352,1.5,1.5,78,1,17,-1,QAYRIS01
31,31,2.906613,-1.313257,1.593356,0.025983,0.732181,1.5,1.5,77,1,9,-1,QAYRIS01
32,32,4.921809,-27.121738,-22.199929,0.111894,3.153097,2.0,1.5,25,23,15,1,QAYRIS01
33,33,16.917963,-8.508193,8.40977,0.12123,3.416181,2.0,1.5,25,27,15,13,QAYRIS01
34,34,30.862304,-6.091224,24.77108,0.183535,5.171914,2.0,1.5,27,28,13,12,QAYRIS01
35,35,5.808173,-28.657428,-22.849255,0.132442,3.732149,2.0,1.5,27,75,13,14,QAYRIS01
36,36,2.664211,-40.242195,-37.577984,0.189324,5.335051,2.0,1.5,30,28,5,12,QAYRIS01
37,37,17.100111,-8.871337,8.228774,0.12015,3.385763,2.0,1.5,30,66,5,3,QAYRIS01
38,38,5.332837,-27.061476,-21.728639,0.129805,3.657826,2.0,1.5,76,30,16,5,QAYRIS01
39,39,4.904044,-25.775323,-20.871279,0.106055,2.988559,2.0,1.5,68,66,4,3,QAYRIS01
40,40,4.743279,-26.90834,-22.165062,0.125489,3.536192,2.0,1.5,70,68,2,4,QAYRIS01
41,41,19.441504,-9.416515,10.024989,0.117299,3.305413,2.0,1.5,76,70,16,2,QAYRIS01
42,42,30.659091,-6.02071,24.638382,0.17852,5.030581,2.0,1.5,70,72,2,6,QAYRIS01
43,43,30.414786,-6.09795,24.316836,0.174591,4.919868,2.0,1.5,72,37,6,7,QAYRIS01
44,44,19.455814,-9.473524,9.982291,0.123798,3.488549,2.0,1.5,37,77,7,9,QAYRIS01
45,45,4.717839,-27.011255,-22.293416,0.127076,3.580921,2.0,1.5,39,37,8,7,QAYRIS01
46,46,17.271967,-8.720934,8.551033,0.103648,2.920749,2.0,1.5,39,41,8,10,QAYRIS01
47,47,16.478953,-8.718176,7.760777,0.116175,3.273745,2.0,1.5,41,43,10,11,QAYRIS01
48,48,5.855766,-27.217685,-21.361919,0.130541,3.678563,2.0,1.5,43,77,11,9,QAYRIS01
49,49,30.480056,-6.292868,24.187188,0.173801,4.89761,2.0,1.5,43,45,11,21,QAYRIS01
50,50,30.131277,-6.32534,23.805937,0.168971,4.761501,2.0,1.5,45,47,21,18,QAYRIS01
51,51,20.950458,-12.372198,8.578261,0.125008,3.522642,2.0,1.5,47,78,18,17,QAYRIS01
52,52,4.447742,-26.003115,-21.555374,0.12938,3.645862,2.0,1.5,49,47,19,18,QAYRIS01
53,53,4.831128,-26.38678,-21.555652,0.111327,3.137131,2.0,1.5,50,49,20,19,QAYRIS01
54,54,15.988383,-8.614382,7.374001,0.12193,3.435925,2.0,1.5,50,51,20,23,QAYRIS01
55,55,4.437407,-26.436902,-21.999495,0.132477,3.733136,2.0,1.5,23,21,1,22,QAYRIS01
56,56,19.454997,-13.649218,5.805779,0.130457,3.676213,2.0,1.5,21,75,22,14,QAYRIS01
57,57,2.568811,-40.023397,-37.454587,0.178714,5.036067,2.0,1.5,21,52,22,24,QAYRIS01
58,58,2.445596,-40.077475,-37.631879,0.173966,4.902264,2.0,1.5,52,51,24,23,QAYRIS01
59,59,6.606316,-30.958612,-24.352296,0.13699,3.860298,2.0,1.5,51,78,23,17,QAYRIS01
60,60,0.847087,-3.089396,-2.242309,0.026933,0.758968,2.0,1.5,75,1,14,-1,QAYRIS01
61,61,1.503436,-1.923982,-0.420546,0.014317,0.403441,2.0,1.5,76,1,16,-1,QAYRIS01
62,62,0.842342,-5.826269,-4.983927,0.03738,1.053354,2.0,1.5,78,1,17,-1,QAYRIS01
63,63,2.140311,-2.050795,0.089516,0.02562,0.721963,2.0,1.5,77,1,9,-1,QAYRIS01
64,64,1.40255,-29.323975,-27.921425,0.108391,3.0544,2.5,1.5,25,23,15,1,QAYRIS01
65,65,11.295493,-8.524319,2.771174,0.096024,2.705904,2.5,1.5,25,27,15,13,QAYRIS01
66,66,21.080713,-6.357772,14.722941,0.154266,4.34713,2.5,1.5,27,28,13,12,QAYRIS01
67,67,2.822851,-29.114279,-26.291428,0.126636,3.568526,2.5,1.5,27,75,13,14,QAYRIS01
68,68,0.649211,-41.273081,-40.62387,0.184843,5.20878,2.5,1.5,30,28,5,12,QAYRIS01
69,69,11.327929,-8.831175,2.496754,0.095034,2.678004,2.5,1.5,30,66,5,3,QAYRIS01
70,70,2.954514,-27.477018,-24.522504,0.124689,3.513649,2.5,1.5,76,30,16,5,QAYRIS01
71,71,1.430971,-27.653196,-26.222226,0.101744,2.867095,2.5,1.5,68,66,4,3,QAYRIS01
72,72,1.264781,-29.389888,-28.125107,0.121742,3.430616,2.5,1.5,70,68,2,4,QAYRIS01
73,73,11.266013,-9.763834,1.502179,0.097768,2.755042,2.5,1.5,76,70,16,2,QAYRIS01
74,74,20.899517,-6.13589,14.763627,0.150149,4.231112,2.5,1.5,70,72,2,6,QAYRIS01
75,75,20.922522,-6.177008,14.745514,0.147756,4.163689,2.5,1.5,72,37,6,7,QAYRIS01
76,76,11.026709,-9.719391,1.307318,0.098597,2.778405,2.5,1.5,37,77,7,9,QAYRIS01
77,77,1.283369,-29.443607,-28.160238,0.123014,3.46645,2.5,1.5,39,37,8,7,QAYRIS01
78,78,12.144792,-8.746521,3.398271,0.088683,2.499038,2.5,1.5,39,41,8,10,QAYRIS01
79,79,11.175762,-8.752407,2.423355,0.093758,2.642038,2.5,1.5,41,43,10,11,QAYRIS01
80,80,3.017552,-27.775011,-24.75746,0.127176,3.583752,2.5,1.5,43,77,11,9,QAYRIS01
81,81,20.674448,-6.754101,13.920347,0.146642,4.132294,2.5,1.5,43,45,11,21,QAYRIS01
82,82,20.396591,-6.817374,13.579217,0.143241,4.036447,2.5,1.5,45,47,21,18,QAYRIS01
83,83,11.096415,-13.167258,-2.070843,0.106607,3.004127,2.5,1.5,47,78,18,17,QAYRIS01
84,84,1.298438,-28.206255,-26.907817,0.125548,3.53786,2.5,1.5,49,47,19,18,QAYRIS01
85,85,1.481041,-28.811492,-27.33045,0.107737,3.035977,2.5,1.5,50,49,20,19,QAYRIS01
86,86,10.868953,-8.696143,2.17281,0.099643,2.807882,2.5,1.5,50,51,20,23,QAYRIS01
87,87,1.233104,-28.648538,-27.415434,0.129482,3.648728,2.5,1.5,23,21,1,22,QAYRIS01
88,88,10.140522,-14.56276,-4.422238,0.109046,3.072847,2.5,1.5,21,75,22,14,QAYRIS01
89,89,0.642383,-40.919053,-40.27667,0.174291,4.911419,2.5,1.5,21,52,22,24,QAYRIS01
90,90,0.607954,-40.825013,-40.217059,0.168586,4.75066,2.5,1.5,52,51,24,23,QAYRIS01
91,91,2.782803,-31.807124,-29.024321,0.123727,3.486541,2.5,1.5,51,78,23,17,QAYRIS01
92,92,0.539628,-3.285901,-2.746274,0.029624,0.834787,2.5,1.5,75,1,14,-1,QAYRIS01
