,file,read,order,extract_mol,status
133,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APIYUV.cif,,,,
134,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APIZOQ.cif,,,,
135,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQINUK.cif,,,,
136,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQIQOI.cif,,,,
137,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQOCIS.cif,,,,
138,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQOCOY.cif,,,,
139,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQOCUE.cif,,,,
140,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANETUK.cif,0.7753329277038574,0.00016808509826660156,,TIMEOUT
141,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQOYAI.cif,,,,
142,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQUDAR.cif,,,,
143,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQUDEV.cif,,,,
144,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQUDOF.cif,,,,
145,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ARAVUN.cif,,,,
146,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANOFUG.cif,1.388545036315918,0.001920938491821289,,TIMEOUT
147,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ARAWIC.cif,,,,
148,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AROBEP.cif,,,,
149,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ARODOC.cif,,,,
150,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AROQOO.cif,,,,
151,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ARORUV.cif,,,,
152,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AROSAC.cif,,,,
153,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANOFUG01.cif,0.8782632350921631,0.0008146762847900391,,TIMEOUT
154,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AROSIK.cif,,,,
155,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AROVUA.cif,,,,
156,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APEYIG.cif,1.2033426761627197,0.0006844997406005859,,TIMEOUT
157,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ARUHAW.cif,,,,
158,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ARUXIW.cif,,,,
159,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASESIB.cif,,,,
160,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APIYOP.cif,1.0020701885223389,0.0012288093566894531,,TIMEOUT
161,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASIPIB.cif,,,,
162,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASIPIC.cif,,,,
163,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASIPOH.cif,,,,
164,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASIPUN.cif,,,,
165,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASIQAU.cif,0.5721471309661865,0.0071926116943359375,,UNORDERED
166,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASOBOB.cif,,,,
167,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASOBUH.cif,,,,
168,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ARAWEY.cif,1.5020520687103271,0.0014386177062988281,248.5629608631134,OK
169,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AQOGES.cif,0.7468178272247314,0.00032901763916015625,,TIMEOUT
170,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATAWAU.cif,,,,
171,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATEVIG.cif,,,,
172,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATEWUT.cif,,,,
173,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATIRAW.cif,,,,
174,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATIREA.cif,,,,
175,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATIXIL.cif,,,,
176,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATOHUP.cif,,,,
177,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASUYET.cif,0.5728676319122314,0.0005271434783935547,27.90443468093872,OK
178,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AROSEG.cif,1.2927911281585693,0.00020623207092285156,,TIMEOUT
179,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AROWAH.cif,0.9284193515777588,0.0005977153778076172,,TIMEOUT
180,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATUSOX.cif,,,,
181,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATUVIX.cif,,,,
182,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVAMUH.cif,,,,
183,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVELIZ.cif,,,,
184,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVELOF.cif,,,,
185,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASESOH.cif,0.5224881172180176,0.0002200603485107422,,TIMEOUT
186,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ASUXES.cif,0.5470058917999268,0.00031948089599609375,,TIMEOUT
187,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVELUL.cif,0.7547821998596191,0.00017881393432617188,14.907504320144653,OK
188,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATOMOO.cif,1.6282153129577637,0.00026607513427734375,23.785083055496216,OK
189,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVIXIO.cif,,,,
190,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATOJAX.cif,0.826195478439331,0.0002493858337402344,,TIMEOUT
191,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ATOJEB.cif,1.9929821491241455,0.002483844757080078,,TIMEOUT
192,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVILEY.cif,2.124885320663452,0.0011038780212402344,185.14837050437927,OK
193,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVUBEZ.cif,,,,
194,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVUCAW.cif,,,,
